,title,Price,Rating,Number_of_ratings,Bought_in_past_month,Link
10,"TEXUM TXO-25 Portable high Pressure Car Washer Machine for Washing car, Bike, Vehicles, 135 Bar Max Pressure and 2.0 KW Motor Power. (Updated Model)  ","4,999",5.0 out of 5 stars,2  ,NA,http://amazon.in//sspa/click?ie=UTF8&spc=MTo4NzA5MzE2OTExMDMxMjYzOjE3MjE5Mjg0NTA6c3BfYXRmX25leHQ6MzAwMTI5MDUxNzc5MjMyOjowOjo&url=%2FTEXUM-TXO-25-Portable-Pressure-Vehicles%2Fdp%2FB0CTQTRQL1%2Fref%3Dsr_1_66_sspa%3Fcrid%3D2329DE5DWIEET%26dib%3DeyJ2IjoiMSJ9.Hn1NdUEdsH7CGwxmvnUrZZVN9yRREqXx6z0pWhEIw-YbcfWhb4QFklIHHHwUDLqY4I4oKuDZT0BP8EefVupNlarN1Tnc26ZCFsz68bbHu4Cj2MCOQxvlqIqQ8UDfJBvcKgOlbkFOYqYmwnoBDBi2mTXAt9aWknGTAjgNQdS2JKcDvoI9EzVuLg8NZ8LrouzfVHioXMlfh7iY7kQXx951j3Gxc0ISfcXR0mNjnnxN2hQ.0C482bytKqMD2WRl0Oc_KIDLDqCZ5eLTThCGiwKfr8o%26dib_tag%3Dse%26keywords%3DCar%2BWasher%26qid%3D1721928450%26sprefix%3Dcar%2Bwasher%252Caps%252C260%26sr%3D8-66-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
11,"Shakti Technology Imperial High Pressure Car Washer Machine 2200 Watts, Pressure 140 Bar, 8L/Min Flow Rate and 10 Meter Hose Pipe with Adjustable Pressure Control Feature  ","4,986",3.7 out of 5 stars,179  ,NA,http://amazon.in//Shakti-Technology-Imperial-Pressure-Adjustable/dp/B0CCYLQFVT/ref=sr_1_67?crid=2329DE5DWIEET&dib=eyJ2IjoiMSJ9.Hn1NdUEdsH7CGwxmvnUrZZVN9yRREqXx6z0pWhEIw-YbcfWhb4QFklIHHHwUDLqY4I4oKuDZT0BP8EefVupNlarN1Tnc26ZCFsz68bbHu4Cj2MCOQxvlqIqQ8UDfJBvcKgOlbkFOYqYmwnoBDBi2mTXAt9aWknGTAjgNQdS2JKcDvoI9EzVuLg8NZ8LrouzfVHioXMlfh7iY7kQXx951j3Gxc0ISfcXR0mNjnnxN2hQ.0C482bytKqMD2WRl0Oc_KIDLDqCZ5eLTThCGiwKfr8o&dib_tag=se&keywords=Car+Washer&qid=1721928450&sprefix=car+washer%2Caps%2C260&sr=8-67
12,"IBELL WIND55 Universal Motor Pressure Washer, 1600 Watts Motor, 130 Bars, 7L/Min Flow Rate, 5 Meters Outlet Hose, for Car, Bike and Home Cleaning Purpose, Turbo Nozzle, Black and Orange  ","8,199",4.0 out of 5 stars,"1,003  ",NA,http://amazon.in//iBELL-1550-Watt-Universal-Pressure-Washer/dp/B078JGTC7Q/ref=sr_1_68?crid=2329DE5DWIEET&dib=eyJ2IjoiMSJ9.Hn1NdUEdsH7CGwxmvnUrZZVN9yRREqXx6z0pWhEIw-YbcfWhb4QFklIHHHwUDLqY4I4oKuDZT0BP8EefVupNlarN1Tnc26ZCFsz68bbHu4Cj2MCOQxvlqIqQ8UDfJBvcKgOlbkFOYqYmwnoBDBi2mTXAt9aWknGTAjgNQdS2JKcDvoI9EzVuLg8NZ8LrouzfVHioXMlfh7iY7kQXx951j3Gxc0ISfcXR0mNjnnxN2hQ.0C482bytKqMD2WRl0Oc_KIDLDqCZ5eLTThCGiwKfr8o&dib_tag=se&keywords=Car+Washer&qid=1721928450&sprefix=car+washer%2Caps%2C260&sr=8-68
13,"Darson A3 High Pressure Washer Car Washer Machine, 2100 Watts, 160 Bars, 8L/Min Flow Rate, 8 Meters Outlet Hose Pipe, Portable for Car, Bike & Home Cleaning  ","3,999",4.5 out of 5 stars,21  ,300+ bought in past month,http://amazon.in//Darson-A3-Pressure-Washer-Car/dp/B0D332FH4Z/ref=sr_1_10?crid=2329DE5DWIEET&dib=eyJ2IjoiMSJ9.h9T2A_aP2jvHKxAGjcIFRbcRTKVy2-bkizGubojIebYlPevUWVp8UHQeCFiBJHV73h_SdKX8fowHGCRJvNdUQmaQzf0yu5iMC_AaKpZSL62z4YtLV-cTiyeRTsd-ToAsTufinc821pNnPPF6mmcJqX2J4c8dpXEj5xnWi5T2bpBlLJgLQPyailoWGfvQ1IT6954qjSGlC5TO6itJvVBopNn4R4cVISR0ZGJgB7pAGXc.PFI9K1cd64Gd23GlpcSdh020gU0D4ofROrTeCu_pAw4&dib_tag=se&keywords=Car+Washer&qid=1721928422&sprefix=car+washer%2Caps%2C260&sr=8-10
14,"INALSA High Pressure Washer 2000W|Induction Motor|Pressure-140 Bar|Max Flow-7L|6 Meter Hose|Self Priming Features|Homes,Bike,Car,Garden,Cleaning Purpose High Pressure Pump(POWERSHOT2000) Black&Orange  ","6,992",3.9 out of 5 stars,712  ,NA,http://amazon.in//Pressure-Induction-Pressure-135-Flow-390-2000/dp/B0B1DFK1TD/ref=sr_1_69?crid=2329DE5DWIEET&dib=eyJ2IjoiMSJ9.Hn1NdUEdsH7CGwxmvnUrZZVN9yRREqXx6z0pWhEIw-YbcfWhb4QFklIHHHwUDLqY4I4oKuDZT0BP8EefVupNlarN1Tnc26ZCFsz68bbHu4Cj2MCOQxvlqIqQ8UDfJBvcKgOlbkFOYqYmwnoBDBi2mTXAt9aWknGTAjgNQdS2JKcDvoI9EzVuLg8NZ8LrouzfVHioXMlfh7iY7kQXx951j3Gxc0ISfcXR0mNjnnxN2hQ.0C482bytKqMD2WRl0Oc_KIDLDqCZ5eLTThCGiwKfr8o&dib_tag=se&keywords=Car+Washer&qid=1721928450&sprefix=car+washer%2Caps%2C260&sr=8-69
15,Fieldstar Corded Electric Dual High Pressure Washer Set-Mounted 12V Car (1)  ,"2,750",3.8 out of 5 stars,584  ,NA,http://amazon.in//Fieldstar-Dual-Pressure-Washer-Set-Mounted/dp/B07MHGM19Q/ref=sr_1_70?crid=2329DE5DWIEET&dib=eyJ2IjoiMSJ9.Hn1NdUEdsH7CGwxmvnUrZZVN9yRREqXx6z0pWhEIw-YbcfWhb4QFklIHHHwUDLqY4I4oKuDZT0BP8EefVupNlarN1Tnc26ZCFsz68bbHu4Cj2MCOQxvlqIqQ8UDfJBvcKgOlbkFOYqYmwnoBDBi2mTXAt9aWknGTAjgNQdS2JKcDvoI9EzVuLg8NZ8LrouzfVHioXMlfh7iY7kQXx951j3Gxc0ISfcXR0mNjnnxN2hQ.0C482bytKqMD2WRl0Oc_KIDLDqCZ5eLTThCGiwKfr8o&dib_tag=se&keywords=Car+Washer&qid=1721928450&sprefix=car+washer%2Caps%2C260&sr=8-70
16,"Zancia Wireless High Pressure Washer for Car Washing 48V Rechargeable Electric Pressure Washer Gun Bike,Cleaning with Adjustable 3 in 1 Nozzle and 5M Pipe Machine Electronic Lock Mini Electric (Black)  ","1,999",4.8 out of 5 stars,58  ,NA,http://amazon.in//Zancia-Piggy-Bank-Password-Electronic/dp/B0CR9YMTVG/ref=sr_1_71?crid=2329DE5DWIEET&dib=eyJ2IjoiMSJ9.Hn1NdUEdsH7CGwxmvnUrZZVN9yRREqXx6z0pWhEIw-YbcfWhb4QFklIHHHwUDLqY4I4oKuDZT0BP8EefVupNlarN1Tnc26ZCFsz68bbHu4Cj2MCOQxvlqIqQ8UDfJBvcKgOlbkFOYqYmwnoBDBi2mTXAt9aWknGTAjgNQdS2JKcDvoI9EzVuLg8NZ8LrouzfVHioXMlfh7iY7kQXx951j3Gxc0ISfcXR0mNjnnxN2hQ.0C482bytKqMD2WRl0Oc_KIDLDqCZ5eLTThCGiwKfr8o&dib_tag=se&keywords=Car+Washer&qid=1721928450&sprefix=car+washer%2Caps%2C260&sr=8-71
17,"Cordless Pressure Washer (48Vx2) DUAL Batteries Xoyo Pro, 652 PSI Portable Powerful Car Washer with 6-in-1 Nozzle, Handheld Multi Cleaning Spary Gun for Home/Floor/Fence/Gardening/Panel Cleaning Works  ","4,710",4.2 out of 5 stars,26  ,NA,http://amazon.in//Cordless-Pressure-Batteries-Portable-Gardening/dp/B0CSFPLTVX/ref=sr_1_72?crid=2329DE5DWIEET&dib=eyJ2IjoiMSJ9.Hn1NdUEdsH7CGwxmvnUrZZVN9yRREqXx6z0pWhEIw-YbcfWhb4QFklIHHHwUDLqY4I4oKuDZT0BP8EefVupNlarN1Tnc26ZCFsz68bbHu4Cj2MCOQxvlqIqQ8UDfJBvcKgOlbkFOYqYmwnoBDBi2mTXAt9aWknGTAjgNQdS2JKcDvoI9EzVuLg8NZ8LrouzfVHioXMlfh7iY7kQXx951j3Gxc0ISfcXR0mNjnnxN2hQ.0C482bytKqMD2WRl0Oc_KIDLDqCZ5eLTThCGiwKfr8o&dib_tag=se&keywords=Car+Washer&qid=1721928450&sprefix=car+washer%2Caps%2C260&sr=8-72
18,"SUNICE Portable Car Pressure Washer Spray Gun 7 Meter Outlet Pipe, Work with Power Adapter and Car Charging Socket Cable, Car Washing, Bike, Floor Window Cleaning (Pressure Washer 12V DC)  ","2,999",NA,NA,NA,http://amazon.in//SUNICE-Portable-Pressure-Charging-Cleaning/dp/B0CXM3GML8/ref=sr_1_73?crid=2329DE5DWIEET&dib=eyJ2IjoiMSJ9.Hn1NdUEdsH7CGwxmvnUrZZVN9yRREqXx6z0pWhEIw-YbcfWhb4QFklIHHHwUDLqY4I4oKuDZT0BP8EefVupNlarN1Tnc26ZCFsz68bbHu4Cj2MCOQxvlqIqQ8UDfJBvcKgOlbkFOYqYmwnoBDBi2mTXAt9aWknGTAjgNQdS2JKcDvoI9EzVuLg8NZ8LrouzfVHioXMlfh7iY7kQXx951j3Gxc0ISfcXR0mNjnnxN2hQ.0C482bytKqMD2WRl0Oc_KIDLDqCZ5eLTThCGiwKfr8o&dib_tag=se&keywords=Car+Washer&qid=1721928450&sprefix=car+washer%2Caps%2C260&sr=8-73
19,"ResQTech Pw-107 1900 Watt 150 Bar High Pressure Washer For Car ,Bike And Home - 2 Year Warranty - Patio Cleaner - Foam Cannon - 90 Degree Nozzle - Rotary Turbo Nozzle - 7 M Hose Pipe/10 M Power Cord - Copper Winding - ( Premium Edition )  ","10,799",4.4 out of 5 stars,924  ,50+ bought in past month,http://amazon.in//ResQTech-1700-Pressure-Washer-RSQ-PW105/dp/B08XTL8R5W/ref=sr_1_74?crid=2329DE5DWIEET&dib=eyJ2IjoiMSJ9.Hn1NdUEdsH7CGwxmvnUrZZVN9yRREqXx6z0pWhEIw-YbcfWhb4QFklIHHHwUDLqY4I4oKuDZT0BP8EefVupNlarN1Tnc26ZCFsz68bbHu4Cj2MCOQxvlqIqQ8UDfJBvcKgOlbkFOYqYmwnoBDBi2mTXAt9aWknGTAjgNQdS2JKcDvoI9EzVuLg8NZ8LrouzfVHioXMlfh7iY7kQXx951j3Gxc0ISfcXR0mNjnnxN2hQ.0C482bytKqMD2WRl0Oc_KIDLDqCZ5eLTThCGiwKfr8o&dib_tag=se&keywords=Car+Washer&qid=1721928450&sprefix=car+washer%2Caps%2C260&sr=8-74
